naf_event_id,tourplay_slug,tourplay_event_id,fetch_status,http_status,has_tiers,has_race_mapping,has_improvement_packs,has_skill_costs,has_stacking,has_stars,pack_choice_structure
10120,mulligans-open-2026-scotlands-naf-national,18830,fetched,200,true,true,true,true,true,true,choice_set
10644,hotpot-bowl-26,18070,fetched,200,true,true,true,false,true,true,choice_set
9944,welsh-national-championship-2026,18043,fetched,200,true,true,true,true,true,false,single_only
11105,scottish-team-championship-2026,20477,fetched,200,true,true,true,true,true,true,choice_set
10887,harpastum-xvi,18892,fetched,200,true,true,true,true,true,true,choice_set
10788,cierzo-bowl-2026,18217,fetched,200,true,true,true,false,true,true,single_only
11300,warsaw-tournament-xi,20883,fetched,200,true,true,true,true,true,true,choice_set
11217,iii-takoyaki-bowl,19455,fetched,200,true,true,true,true,true,true,choice_set
11431,pow-town-2026,20279,fetched,200,true,true,true,true,true,true,choice_set
10824,tortellinobowl-iv,18876,fetched,200,true,true,true,true,true,true,choice_set
11489,ii-craftbowl,20121,fetched,200,true,true,true,true,true,true,single_only
10867,ii-cocollona-bowl-girona,18159,fetched,200,true,true,true,false,true,true,single_only
11420,two-bosses,20694,fetched,200,true,true,true,true,true,true,single_only
10774,bleed-bowl-2026,18054,fetched,200,true,true,true,true,true,true,choice_set
10952,carrot-crunch-8,20810,fetched,200,true,true,true,true,true,true,choice_set
10380,ukbbl-tabletop-xxii,19417,fetched,200,true,true,true,false,true,true,choice_set
11738,fajans-cup-4---druzynowe-mistrzostwa-polski,21021,fetched,200,true,true,true,true,true,true,choice_set
11094,legendary-leagues-ii---the-jolly-jouster-cup,20109,fetched,200,true,true,true,true,true,false,single_only
10820,block-tackle-pow--here-come-the-drums,18854,fetched,200,true,true,true,true,true,true,single_only
11315,chti-bowl-x,19916,fetched,200,true,true,true,true,true,true,choice_set
